video_id,views,likes,comments,crawl_date
3T_Ms1xha9k,7559,10,0,2025-11-25T03:45:57.056265+00:00
3U3myW92nUI,472079,2682,2,2025-11-25T03:45:57.056267+00:00
3UMyyfhjX2c,6370,60,1,2025-11-25T03:45:57.056270+00:00
3VrjYCgK35s,54946,0,1,2025-11-25T03:45:57.056272+00:00
3WXeCsN0IKk,16247,48,2,2025-11-25T03:45:57.056274+00:00
3WeDg9uiGDg,8,0,0,2025-11-25T03:45:57.056276+00:00
3Xoda9B50x8,108190,0,15,2025-11-25T03:45:57.056279+00:00
3XqdyBPCWXc,97665,1878,14,2025-11-25T03:45:57.677332+00:00
3_JlMyZz5yA,1105020,11162,56,2025-11-25T03:45:57.677351+00:00
3_PgWkL3s1g,8528,86,0,2025-11-25T03:45:57.677355+00:00
3bwHLnxner8,1163,30,6,2025-11-25T03:45:57.677358+00:00
3d5BKSH4yrE,38543,306,0,2025-11-25T03:45:57.677360+00:00
3eXVvWH18og,702639,0,2,2025-11-25T03:45:57.677363+00:00
3gYFgqS-rR8,119,0,0,2025-11-25T03:45:57.677365+00:00
3jwoEiOssHU,1609,58,0,2025-11-25T03:45:57.677367+00:00
3kfeAWepC-0,1498,32,1,2025-11-25T03:45:57.677370+00:00
3ovAsVc8Zgc,1539,0,3,2025-11-25T03:45:57.677372+00:00
3pNarmnsuVw,220,16,4,2025-11-25T03:45:57.677374+00:00
3qkZeZ_Ikgg,18565,777,27,2025-11-25T03:45:57.677377+00:00
3tAUO9GjP8k,14333,91,1,2025-11-25T03:45:57.677379+00:00
3tlvhU8aoOA,2033,0,0,2025-11-25T03:45:57.677381+00:00
3z0Xa4aPEIQ,25309,0,9,2025-11-25T03:45:57.677384+00:00
3zyMoSxFYdY,31013,441,2,2025-11-25T03:45:57.677386+00:00
41EWtDNOyfQ,55856,1501,30,2025-11-25T03:45:57.677388+00:00
42fiyWUQntg,1649,13,0,2025-11-25T03:45:57.677391+00:00
44nf4nA3o4o,1674,24,1,2025-11-25T03:45:57.677393+00:00
45Drz_odK1k,13659,99,0,2025-11-25T03:45:57.677395+00:00
45dNzNl6qaY,44,0,0,2025-11-25T03:45:57.677398+00:00
45w-Q5sBUq0,1028,12,0,2025-11-25T03:45:57.677400+00:00
468_zmvydTQ,151061,0,1,2025-11-25T03:45:57.677402+00:00
484TgWb0bbc,4750,23,0,2025-11-25T03:45:57.677438+00:00
48Ll8YF1BwI,796,10,0,2025-11-25T03:45:57.677441+00:00
494U4y9yqgY,2266,104,6,2025-11-25T03:45:57.677443+00:00
4AgV4LeV1UM,156357,0,7,2025-11-25T03:45:57.677445+00:00
4B9_0nSuiHQ,25263,219,12,2025-11-25T03:45:57.677448+00:00
4CxAbGNPA1A,95880,229,0,2025-11-25T03:45:57.677450+00:00
4D3Jb-r4t0o,37282,170,8,2025-11-25T03:45:57.677453+00:00
4E7vDEuRIYo,156030,920,3,2025-11-25T03:45:57.677455+00:00
4FKxZBNRVr8,31566,153,0,2025-11-25T03:45:57.677457+00:00
4HHoeIF9iL4,735283,14009,1326,2025-11-25T03:45:57.677460+00:00
4IFMx0vGnPw,31580,141,0,2025-11-25T03:45:57.677462+00:00
4JT8YUjZtz8,175913,3421,8,2025-11-25T03:45:57.677464+00:00
4Jx9TOd6VtM,808,7,0,2025-11-25T03:45:57.677467+00:00
4L0GKl06er8,1132,51,14,2025-11-25T03:45:57.677469+00:00
4L9MDwDxQ9Y,2665,36,45,2025-11-25T03:45:57.677471+00:00
4M6MCHivjWA,55053,1242,6,2025-11-25T03:45:57.677476+00:00
4N__G_O9lEY,1343,42,7,2025-11-25T03:45:57.677478+00:00
